wavenumbers,intensities
50710.918000,3.824E-23
50711.090000,1.800E-23
50712.520000,1.147E-22
50712.602000,2.161E-22
50712.789000,2.572E-24
50714.391000,3.859E-23
50714.871000,5.197E-23
50716.512000,4.025E-23
50716.535000,3.775E-23
50717.035000,3.611E-23
50720.289000,2.632E-23
50720.453000,2.486E-23
50721.078000,2.394E-23
50724.703000,1.179E-26
50725.734000,1.129E-26
50726.625000,1.103E-26
50726.832000,2.425E-23
50727.051000,2.312E-23
50727.809000,2.247E-23
50729.254000,2.996E-25
50730.184000,2.871E-25
50730.207000,8.677E-25
50730.367000,8.294E-25
50730.430000,3.669E-25
50730.809000,3.513E-25
50730.918000,8.086E-25
50731.422000,2.806E-25
50731.570000,3.431E-25
50736.758000,9.938E-26
50737.953000,1.144E-23
50738.102000,9.528E-26
50738.391000,1.093E-23
50739.355000,1.066E-23
50739.742000,9.318E-26
50741.004000,2.608E-26
50741.738000,2.492E-26
50742.340000,2.428E-26
50743.109000,1.151E-28
50746.332000,1.105E-28
50749.062000,1.082E-28
